feature,shap_abs_mean
pm25_rolling_3h,2.2364159159645878
hour_cos,2.116328228590304
pm25_lag_168h,1.665849661370803
pm25_rolling_7d,1.432168747949563
dow_sin,0.9314111098312522
hour_sin,0.5936080123105819
pm25_lag_24h,0.5208102242097773
month_sin,0.46925104524542194
pm25_lag_1h,0.4598146599768592
pm25_lag_48h,0.368997534587201
pm25_rolling_24h,0.3186185430460658
pm25_rolling_6h,0.24911585295653207
dow_cos,0.14353273288700402
is_weekend,0.13408509819729525
pm25_lag_12h,0.1318375261089341
temp_x_humidity,0.1261034657773856
pm25_lag_3h,0.12047821748037284
pm25_std_24h,0.10854855985783489
pressure_change_3h,0.10498346603299061
no2_lag_1h,0.10354505404685885
stagnation_idx,0.10001214458289237
humidity,0.09288640900893838
no2_lag_24h,0.087603814525865
wind_u,0.08326154848515166
pm25_lag_6h,0.08321083941952512
temp,0.08116721950365595
wind_speed,0.06837108546242077
pressure,0.06702648037794841
pm25_std_7d,0.06404258580634747
wind_v,0.05291124918161861
precip_lag_3h,0.02283132748955202
temp_sq,0.019255588047418448
month_cos,0.014909648790081028
